순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"168","오싹오싹 팬티! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2018","","9788964963678","77840","843","11,536",
"169","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","19","9788950994594","74900","980.2","11,528",
"170","설민석의 한국사 대모험 18 - 후삼국 편 : 온달의 기묘한 시간 여행","설민석, 스토리박스 (지은이), 정현희 (그림), 강석화 (감수)","아이휴먼","2021","18","9791165382988","","","11,470",
"171","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","8","9791164062287","74830","833.6","11,378",
"172","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","3","9788950976118","74900","980.2","11,351",
"173","(정재승의) 인간 탐구 보고서","글: 정재은,그림: 김현민","북이십일","2019","10","9788950983161","74400","511","11,342",
"174","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","15","9791191766318","67400","408","11,332",
"175","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","52","9788950997717","77720","711.4","11,311",
"176","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","11","9791188874385","74910","911","11,309",
"177","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","20","9788950995034","74900","980.2","11,306",
"178","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","7","9791188874149","74910","911","11,232",
"179","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","17","9791168122369","67400","408","11,215",
"180","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","23","9788950998707","74900","980.2","11,207",
"181","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","50","9788950993153","77720","711.4","11,197",
"182","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","4","9788950977405","74900","980.2","11,193",
"183","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","16","9788950991722","74900","980.2","11,153",
"184","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","16","9791168120266","67400","408","11,137",
"185","책 먹는 여우의 여름 이야기 ","프란치스카 비어만 글·그림 ;송순섭 옮김","김영사","2022","","9788934951056","73850","853","11,132",
"186","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","24","9788950900236","74900","980.2","11,118",
"187","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","54","9788950922955","77720","711.4","11,103",
"188","생에 감사해 ","지은이: 김혜자","수오서재","2022","","9791190382915","03810","818","11,096",
"189","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","1","9788950973353","74900","980.2","11,040",
"190","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","3","9791130696577","74810","813.7","11,006",
"191","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","55","9788950942274","77720","711.4","10,995",
"192","마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche ","장재형 지음","유노콘텐츠그룹","2022","","9791192300245","03160","165.77","10,949",
"193","(신기한 맛) 도깨비 식당","김용세,센개 그림","꿈터","2022","2","9791167390646","74810","813.7","10,948",
"194","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","51","9788950995904","77720","711.4","10,920",
"195","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","7","9788950980214","74900","980.2","10,889",
"196","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","25","9788950903473","74900","980.2","10,885",
"197","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","17","9788950992835","74900","980.2","10,870",
"198","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","8","9791188874217","74910","911","10,868",
"199","호랭떡집 ","글·그림: 서현","사계절(사계절출판사)","2023","","9791169811163","77810","813.7","10,864",
"200","겨울 이불 :안녕달 그림책 ","지은이: 안녕달","창비","2023","","9788936455965","77810","813.7","10,858",
